,client_id,workflow_id,job_id,task_id,worker_id,worker_arrival_time,exec_start_time,exec_end_time,deadline
145,1,7,1009,4,ea05589a-a6d9-4b6d-824e-391a5eafbedf,358.6995820887875,358.6995820887875,382.0273394694354,452
146,1,7,1011,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,378.2716604304599,381.67931076847015,389.0647611432632,508
147,0,6,10,1,0daca965-279b-432d-a55b-cbacf2a3ec8c,333.0,362.98170725686555,392.7133617273732,457
148,2,8,2009,4,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f,372.46730926216964,372.46730926216964,395.92525887598185,458
149,0,6,10,2,717d64da-bb85-4ad2-a257-b5034f1d57cd,392.7133617273732,392.7133617273732,396.7107687374944,457
150,0,6,12,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,392.0,392.0,398.5784552667566,516
151,0,6,7,1,f274c22f-f087-4578-be11-1a63c308cc36,242.0,370.01406521401714,400.9346047158505,366
152,1,7,1012,0,4477df26-a9e1-4942-86b6-f9bc38e48340,392.0,392.0,401.67924412918154,532
153,2,8,2007,4,28ac5dc2-d1af-458d-a52c-1d742ccb90cb,378.2467141755488,378.2467141755488,402.7561921617678,395
154,0,6,7,2,717d64da-bb85-4ad2-a257-b5034f1d57cd,400.9346047158505,400.9346047158505,403.8740203633128,366
155,2,8,2011,2,6aae7612-e4d6-48e8-b447-8aae7480fc76,374.4628627229197,374.4628627229197,406.14767380532084,515
156,2,8,2012,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,388.0,388.0,406.7538490078563,548
157,1,7,1012,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,401.67924412918154,401.67924412918154,409.25923353126717,532
158,2,8,2011,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,406.14767380532084,406.14767380532084,415.0525059479763,515
159,2,8,2012,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,406.7538490078563,409.25923353126717,416.51125458953925,548
160,0,6,10,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf,396.7107687374944,396.7107687374944,420.9512497736609,457
161,0,6,10,4,aa421654-f71c-474c-b528-55d93c8d2a7e,420.9512497736609,420.9512497736609,423.51313611865396,457
162,1,7,1010,2,0daca965-279b-432d-a55b-cbacf2a3ec8c,354.3503432189097,392.7133617273732,425.68295722616244,484
163,0,6,7,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f,403.8740203633128,403.8740203633128,427.0954638580524,366
164,1,7,1013,0,4477df26-a9e1-4942-86b6-f9bc38e48340,419.0,419.0,428.828714122225,559
165,0,6,7,4,aa421654-f71c-474c-b528-55d93c8d2a7e,427.0954638580524,427.0954638580524,429.45598748801854,366
166,1,7,1008,2,f274c22f-f087-4578-be11-1a63c308cc36,282.31050308589903,400.9346047158505,431.0806710786897,412
167,0,6,13,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,425.0,425.0,431.91955656300337,549
168,1,7,1010,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,425.68295722616244,425.68295722616244,432.21857653941925,484
169,1,7,1012,2,6aae7612-e4d6-48e8-b447-8aae7480fc76,401.67924412918154,406.14767380532084,435.49476640219007,532
170,2,8,2013,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,417.0,417.0,437.7732613876774,577
171,1,7,1013,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,428.828714122225,431.91955656300337,439.83021931021545,559
172,2,8,2011,4,28ac5dc2-d1af-458d-a52c-1d742ccb90cb,415.0525059479763,415.0525059479763,441.2004037484561,515
173,2,8,2013,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,437.7732613876774,439.83021931021545,447.15559950713964,577
174,1,7,1008,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,431.0806710786897,432.21857653941925,454.3131805098869,412
175,0,6,11,1,0daca965-279b-432d-a55b-cbacf2a3ec8c,359.0,425.68295722616244,456.8614035231654,483
176,1,7,1010,4,ea05589a-a6d9-4b6d-824e-391a5eafbedf,432.21857653941925,432.21857653941925,457.9628454599183,484
177,2,8,2014,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,441.0,441.0,459.97492565815475,601
178,0,6,14,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,453.0,453.0,460.150234974738,577
179,1,7,1012,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,435.49476640219007,454.3131805098869,461.31116596236467,532
180,0,6,8,1,f274c22f-f087-4578-be11-1a63c308cc36,275.0,431.0806710786897,462.5225283621978,399
181,0,6,11,2,717d64da-bb85-4ad2-a257-b5034f1d57cd,456.8614035231654,461.31116596236467,467.2633067874422,483
182,2,8,2014,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,459.97492565815475,460.150234974738,467.44087106204876,601
183,1,7,1014,0,4477df26-a9e1-4942-86b6-f9bc38e48340,462.0,462.0,472.8718246429246,602
184,0,6,8,2,717d64da-bb85-4ad2-a257-b5034f1d57cd,462.5225283621978,467.2633067874422,478.7007983264255,399
185,1,7,1008,4,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f,454.3131805098869,454.3131805098869,479.15477383756416,412
186,1,7,1014,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,472.8718246429246,472.8718246429246,480.78140099405766,602
187,2,8,2015,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,465.0,465.0,484.62737200840706,625
188,1,7,1012,4,28ac5dc2-d1af-458d-a52c-1d742ccb90cb,461.31116596236467,461.31116596236467,488.0975190961057,532
189,2,8,2012,2,0daca965-279b-432d-a55b-cbacf2a3ec8c,406.7538490078563,456.8614035231654,489.98598277902676,548
190,0,6,11,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf,467.2633067874422,467.2633067874422,489.99628993559094,483
191,2,8,2014,2,6aae7612-e4d6-48e8-b447-8aae7480fc76,459.97492565815475,459.97492565815475,490.4995322196818,601
192,2,8,2015,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,484.62737200840706,484.62737200840706,491.94564065227524,625
193,0,6,11,4,aa421654-f71c-474c-b528-55d93c8d2a7e,489.99628993559094,489.99628993559094,492.03401005074096,483
194,2,8,2010,2,f274c22f-f087-4578-be11-1a63c308cc36,347.0010431860997,462.5225283621978,494.0048509340982,487
195,2,8,2012,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,489.98598277902676,489.98598277902676,499.1764521717977,548
196,0,6,15,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,487.0,491.94564065227524,499.8567463429775,611
197,2,8,2010,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,494.0048509340982,499.1764521717977,502.2609534977223,487
198,1,7,1015,0,4477df26-a9e1-4942-86b6-f9bc38e48340,493.0,493.0,503.3504717124647,633
199,0,6,8,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f,478.7007983264255,479.15477383756416,504.54312702209035,399
200,0,6,8,4,aa421654-f71c-474c-b528-55d93c8d2a7e,504.54312702209035,504.54312702209035,507.3809777422034,399
201,2,8,2014,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,490.4995322196818,502.2609534977223,509.4447206096737,601
202,1,7,1015,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,503.3504717124647,503.3504717124647,510.97624164598875,633
203,0,6,16,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,511.0,511.0,517.9041617239495,635
204,1,7,1013,2,0daca965-279b-432d-a55b-cbacf2a3ec8c,428.828714122225,489.98598277902676,521.0138794600884,559
205,2,8,2012,4,28ac5dc2-d1af-458d-a52c-1d742ccb90cb,499.1764521717977,499.1764521717977,524.2932363150042,548
206,1,7,1011,2,f274c22f-f087-4578-be11-1a63c308cc36,378.2716604304599,494.0048509340982,524.4255055519034,508
207,1,7,1013,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,521.0138794600884,521.0138794600884,526.4545652498672,559
208,2,8,2016,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,506.0,506.0,526.9873299777777,666
209,2,8,2010,4,ea05589a-a6d9-4b6d-824e-391a5eafbedf,502.2609534977223,502.2609534977223,527.2427641459792,487
210,1,7,1011,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,524.4255055519034,526.4545652498672,528.6984898298999,508
211,1,7,1015,2,6aae7612-e4d6-48e8-b447-8aae7480fc76,503.3504717124647,503.3504717124647,534.0841323888824,633
212,2,8,2016,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,526.9873299777777,526.9873299777777,534.8575564907464,666
213,2,8,2014,4,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f,509.4447206096737,509.4447206096737,536.0659983520734,601
214,1,7,1016,0,4477df26-a9e1-4942-86b6-f9bc38e48340,526.0,526.0,537.5697107899741,666
215,1,7,1015,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,534.0841323888824,534.0841323888824,543.2917461744953,633
216,1,7,1016,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,537.5697107899741,537.5697107899741,545.0437105844883,666
217,1,7,1013,4,28ac5dc2-d1af-458d-a52c-1d742ccb90cb,526.4545652498672,526.4545652498672,549.6489573536182,559
218,0,6,14,1,0daca965-279b-432d-a55b-cbacf2a3ec8c,453.0,521.0138794600884,551.6546622468154,577
219,0,6,17,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,538.0,545.0437105844883,551.9915556568731,662
220,1,7,1011,4,ea05589a-a6d9-4b6d-824e-391a5eafbedf,528.6984898298999,528.6984898298999,552.8659126690691,508
