,time,client_id,workflow_id,job_id,task_id,model_id,worker_id
5506,9156.310295163377,1,7,1271,4,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5507,9157.07533505342,0,6,273,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5508,9158.873074328729,2,8,2278,4,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
5509,9160.8262915376,1,7,1292,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5510,9160.8262915376,1,7,1292,2,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
5511,9162.0,2,8,2293,0,16,N/A
5512,9162.0,2,8,2293,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
5513,9164.0,0,6,298,0,0,N/A
5514,9164.0,0,6,298,1,1,N/A
5515,9164.0,0,6,298,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5516,9164.0,0,6,298,1,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5517,9167.535671879714,0,6,279,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5518,9176.431988466822,2,8,2273,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5519,9179.76587340922,2,8,2293,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5520,9179.76587340922,2,8,2293,2,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5521,9181.0,1,7,1293,0,15,N/A
5522,9181.0,1,7,1293,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5523,9182.882122499028,2,8,2292,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5524,9185.782961091443,2,8,2273,4,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
5525,9186.637143155085,1,7,1279,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5526,9190.25235940485,1,7,1293,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5527,9190.25235940485,1,7,1293,2,1,f274c22f-f087-4578-be11-1a63c308cc36
5528,9190.25288654089,2,8,2292,4,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5529,9194.0,0,6,299,0,0,N/A
5530,9194.0,0,6,299,1,1,N/A
5531,9194.0,0,6,299,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5532,9194.0,0,6,299,1,1,f274c22f-f087-4578-be11-1a63c308cc36
5533,9196.538814643398,1,7,1279,4,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
5534,9201.0,1,7,1294,0,15,N/A
5535,9201.0,1,7,1294,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5536,9203.0,2,8,2294,0,16,N/A
5537,9203.0,2,8,2294,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
5538,9209.592240001399,1,7,1274,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5539,9211.416153017492,1,7,1294,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5540,9211.416153017492,1,7,1294,2,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5541,9214.559591773947,1,7,1274,4,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
5542,9218.544635406182,2,8,2281,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5543,9221.528871811617,2,8,2281,4,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5544,9221.937306122816,1,7,1293,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5545,9225.0,0,6,300,0,0,N/A
5546,9225.0,0,6,300,1,1,N/A
5547,9225.0,0,6,300,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5548,9225.0,0,6,300,1,1,f274c22f-f087-4578-be11-1a63c308cc36
5549,9226.044741079768,2,8,2294,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5550,9226.044741079768,2,8,2294,2,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
5551,9227.905869078655,1,7,1293,4,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
5552,9231.0,2,8,2295,0,16,N/A
5553,9231.0,2,8,2295,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
5554,9239.984484924871,2,8,2276,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5555,9242.0,1,7,1295,0,15,N/A
5556,9242.0,1,7,1295,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5557,9245.585726506777,2,8,2276,4,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
5558,9249.640792266118,1,7,1282,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5559,9251.518686699486,1,7,1295,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5560,9251.518686699486,1,7,1295,2,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
5561,9253.20823459918,2,8,2295,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5562,9253.20823459918,2,8,2295,2,1,f274c22f-f087-4578-be11-1a63c308cc36
5563,9253.590803915778,0,6,299,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5564,9260.0,2,8,2296,0,16,N/A
5565,9260.0,2,8,2296,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
5566,9261.0,0,6,301,0,0,N/A
5567,9261.0,0,6,301,1,1,N/A
5568,9261.0,0,6,301,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5569,9261.0,0,6,301,1,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5570,9262.990580308522,1,7,1282,4,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5571,9272.248895914468,1,7,1277,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5572,9273.874774581833,0,6,299,3,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
5573,9276.564587763645,2,8,2296,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5574,9276.564587763645,2,8,2296,2,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5575,9276.977784020113,1,7,1277,4,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
5576,9278.0,1,7,1296,0,15,N/A
5577,9278.0,1,7,1296,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5578,9280.235512366173,2,8,2284,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5579,9282.374521149666,2,8,2284,4,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5580,9283.378355050558,0,6,300,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5581,9286.838769331407,1,7,1296,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5582,9286.838769331407,1,7,1296,2,1,f274c22f-f087-4578-be11-1a63c308cc36
5583,9289.0,2,8,2297,0,16,N/A
5584,9289.0,2,8,2297,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
5585,9290.0,0,6,302,0,0,N/A
5586,9290.0,0,6,302,1,1,N/A
5587,9290.0,0,6,302,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5588,9290.0,0,6,302,1,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5589,9290.443526837564,0,6,300,3,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
5590,9299.407825392815,0,6,299,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5591,9305.412935406292,0,6,281,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5592,9309.44389016949,0,6,289,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5593,9311.338636163995,0,6,281,3,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
5594,9312.0,1,7,1297,0,15,N/A
5595,9312.0,1,7,1297,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5596,9312.420358021698,2,8,2297,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5597,9312.420358021698,2,8,2297,2,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
5598,9315.499434400666,2,8,2295,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5599,9319.984364864438,0,6,289,3,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5600,9322.232730290065,1,7,1297,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5601,9322.232730290065,1,7,1297,2,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5602,9323.0,2,8,2298,0,16,N/A
5603,9323.0,2,8,2298,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
5604,9325.589094003652,0,6,300,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5605,9326.496379066884,2,8,2295,4,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
5606,9330.0,0,6,303,0,0,N/A
5607,9330.0,0,6,303,1,1,N/A
5608,9330.0,0,6,303,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5609,9330.0,0,6,303,1,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5610,9335.735303045463,2,8,2279,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5611,9336.612265898033,0,6,281,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5612,9337.0,1,7,1298,0,15,N/A
5613,9337.0,1,7,1298,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5614,9340.923200339268,2,8,2298,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5615,9340.923200339268,2,8,2298,2,1,f274c22f-f087-4578-be11-1a63c308cc36
5616,9340.924388137017,1,7,1285,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5617,9341.421537568322,2,8,2279,4,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
5618,9346.03748014567,1,7,1298,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5619,9346.03748014567,1,7,1298,2,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
5620,9346.216619413419,0,6,289,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5621,9347.943878026144,1,7,1296,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5622,9349.88776132834,1,7,1285,4,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5623,9350.0,2,8,2299,0,16,N/A
5624,9350.0,2,8,2299,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
5625,9358.0,1,7,1299,0,15,N/A
5626,9358.0,1,7,1299,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5627,9362.123622206445,1,7,1296,4,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
5628,9363.0,0,6,304,0,0,N/A
5629,9363.0,0,6,304,1,1,N/A
5630,9363.0,0,6,304,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5631,9363.0,0,6,304,1,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
5632,9368.14312195124,0,6,282,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5633,9369.308764014202,1,7,1299,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5634,9369.308764014202,1,7,1299,2,1,f274c22f-f087-4578-be11-1a63c308cc36
5635,9371.14618159389,2,8,2299,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5636,9371.14618159389,2,8,2299,2,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5637,9373.83539921114,2,8,2287,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5638,9374.0,2,8,2300,0,16,N/A
5639,9374.0,2,8,2300,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
5640,9378.482914309847,2,8,2298,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5641,9379.863995440139,0,6,282,3,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
5642,9387.0,0,6,305,0,0,N/A
5643,9387.0,0,6,305,1,1,N/A
5644,9387.0,0,6,305,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5645,9387.0,0,6,305,1,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5646,9392.0,1,7,1300,0,15,N/A
5647,9392.0,1,7,1300,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5648,9393.269330502251,2,8,2287,4,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5649,9393.641433423538,2,8,2300,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5650,9393.641433423538,2,8,2300,2,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
5651,9399.468094073212,0,6,283,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
